insertId,jsonPayload.code,jsonPayload.message,labels.activity_type_name,"labels.""agent.googleapis.com/health/agentKind""","labels.""agent.googleapis.com/health/agentVersion""","labels.""agent.googleapis.com/health/schemaVersion""","labels.""compute.googleapis.com/resource_name""",labels.policy_id,labels.resource_name,labels.started_at,labels.terse_message,labels.verbose_message,labels.violation_id,logName,receiveLocation,receiveTimestamp,resource.labels.instance_id,resource.labels.project_id,resource.labels.zone,resource.type,severity,timestamp
1ttl8lmg28bf5vn,,2025-01-02T09:33:20.756370+00:00 lamp-1-vm systemd[1]: Starting gce-workload-cert-refresh.service - GCE Workload Certificate refresh...,,,,,lamp-1-vm,,,,,,,projects/qwiklabs-gcp-00-7bccf8bdf104/logs/syslog,,2025-01-02T09:33:21.354416239Z,8137812763781882892,qwiklabs-gcp-00-7bccf8bdf104,us-east1-c,gce_instance,,2025-01-02T09:33:20.757183488Z
egxcqpg1wmbf7n,,2025-01-02T09:29:23.761212+00:00 lamp-1-vm otelopscol[3875]: 2025-01-02T09:29:23.758Z#011info#011prometheusreceiver@v0.112.0/metrics_receiver.go:187#011Starting scrape manager,,,,,lamp-1-vm,,,,,,,projects/qwiklabs-gcp-00-7bccf8bdf104/logs/syslog,,2025-01-02T09:29:25.353125518Z,8137812763781882892,qwiklabs-gcp-00-7bccf8bdf104,us-east1-c,gce_instance,,2025-01-02T09:29:24.831073829Z
egxcqpg1wmbf7m,,2025-01-02T09:29:23.757961+00:00 lamp-1-vm otelopscol[3875]: 2025-01-02T09:29:23.757Z#011info#011service@v0.112.0/service.go:230#011Everything is ready. Begin running and processing data.,,,,,lamp-1-vm,,,,,,,projects/qwiklabs-gcp-00-7bccf8bdf104/logs/syslog,,2025-01-02T09:29:25.353125518Z,8137812763781882892,qwiklabs-gcp-00-7bccf8bdf104,us-east1-c,gce_instance,,2025-01-02T09:29:24.831073230Z
egxcqpg1wmbf7l,,"2025-01-02T09:29:23.757651+00:00 lamp-1-vm otelopscol[3875]: 2025-01-02T09:29:23.757Z#011info#011targetallocator/manager.go:179#011Scrape job added#011{""jobName"": ""logging-collector""}",,,,,lamp-1-vm,,,,,,,projects/qwiklabs-gcp-00-7bccf8bdf104/logs/syslog,,2025-01-02T09:29:25.353125518Z,8137812763781882892,qwiklabs-gcp-00-7bccf8bdf104,us-east1-c,gce_instance,,2025-01-02T09:29:24.831072663Z
egxcqpg1wmbf7k,,2025-01-02T09:29:23.756669+00:00 lamp-1-vm otelopscol[3875]: 2025-01-02T09:29:23.756Z#011info#011prometheusreceiver@v0.112.0/metrics_receiver.go:118#011Starting discovery manager,,,,,lamp-1-vm,,,,,,,projects/qwiklabs-gcp-00-7bccf8bdf104/logs/syslog,,2025-01-02T09:29:25.353125518Z,8137812763781882892,qwiklabs-gcp-00-7bccf8bdf104,us-east1-c,gce_instance,,2025-01-02T09:29:24.831072096Z
egxcqpg1wmbf7j,,2025-01-02T09:29:23.755453+00:00 lamp-1-vm otelopscol[3875]: 2025-01-02T09:29:23.755Z#011info#011prometheusreceiver@v0.112.0/metrics_receiver.go:187#011Starting scrape manager,,,,,lamp-1-vm,,,,,,,projects/qwiklabs-gcp-00-7bccf8bdf104/logs/syslog,,2025-01-02T09:29:25.353125518Z,8137812763781882892,qwiklabs-gcp-00-7bccf8bdf104,us-east1-c,gce_instance,,2025-01-02T09:29:24.831071507Z
egxcqpg1wmbf7i,,"2025-01-02T09:29:23.751751+00:00 lamp-1-vm otelopscol[3875]: 2025-01-02T09:29:23.751Z#011info#011targetallocator/manager.go:179#011Scrape job added#011{""jobName"": ""otel-collector""}",,,,,lamp-1-vm,,,,,,,projects/qwiklabs-gcp-00-7bccf8bdf104/logs/syslog,,2025-01-02T09:29:25.353125518Z,8137812763781882892,qwiklabs-gcp-00-7bccf8bdf104,us-east1-c,gce_instance,,2025-01-02T09:29:24.831070837Z
egxcqpg1wmbf7h,,2025-01-02T09:29:23.749194+00:00 lamp-1-vm otelopscol[3875]: 2025-01-02T09:29:23.748Z#011info#011prometheusreceiver@v0.112.0/metrics_receiver.go:118#011Starting discovery manager,,,,,lamp-1-vm,,,,,,,projects/qwiklabs-gcp-00-7bccf8bdf104/logs/syslog,,2025-01-02T09:29:25.353125518Z,8137812763781882892,qwiklabs-gcp-00-7bccf8bdf104,us-east1-c,gce_instance,,2025-01-02T09:29:24.831070168Z
egxcqpg1wmbf7g,,"2025-01-02T09:29:23.743529+00:00 lamp-1-vm otelopscol[3875]: 2025-01-02T09:29:23.743Z#011info#011internal/resourcedetection.go:139#011detected resource information#011{""resource"": {""cloud.account.id"":""qwiklabs-gcp-00-7bccf8bdf104"",""cloud.availability_zone"":""us-east1-c"",""cloud.platform"":""gcp_compute_engine"",""cloud.provider"":""gcp"",""cloud.region"":""us-east1"",""host.id"":""8137812763781882892"",""host.name"":""lamp-1-vm"",""host.type"":""projects/535381684126/machineTypes/e2-medium""}}",,,,,lamp-1-vm,,,,,,,projects/qwiklabs-gcp-00-7bccf8bdf104/logs/syslog,,2025-01-02T09:29:25.353125518Z,8137812763781882892,qwiklabs-gcp-00-7bccf8bdf104,us-east1-c,gce_instance,,2025-01-02T09:29:24.831069456Z
egxcqpg1wmbf7f,,2025-01-02T09:29:23.738226+00:00 lamp-1-vm otelopscol[3875]: 2025-01-02T09:29:23.737Z#011info#011internal/resourcedetection.go:125#011began detecting resource information,,,,,lamp-1-vm,,,,,,,projects/qwiklabs-gcp-00-7bccf8bdf104/logs/syslog,,2025-01-02T09:29:25.353125518Z,8137812763781882892,qwiklabs-gcp-00-7bccf8bdf104,us-east1-c,gce_instance,,2025-01-02T09:29:24.831068854Z
